Country,rating,contract,is_employed,job,city,date,comment
France,3.0,cdd,False,Conseillère clientèle,Massy ,2022,"Bonne équipe, dommage que la direction soit bloquée dans le passé
"
France,5.0,,False,Responsable,Falaise,2022,"Équipe au top, l'esprit d'équipe fait la force de cette agence.
Une directrice très à l 'écoute et humaine.
Une banque qui essaie de prendre soin de ses salariés
"
France,4.0,,False,Compliance Officer,Nanterre ,2022,"bonne ambiance, bonne équipe, bon relationnel, pas de pression particulière
"
France,5.0,,False,Assistante administrative,Saint-Dié-des-Vosges ,2022,"Missions variées, solidarité dans l’équipe et bonne ambiance
Évaluez votre entreprise pour afficher tous les avis

"
France,4.0,,False,Chargée de communication,La Défense ,2022,"Première expérience professionnelle durant 3 ans. J'ai été ravie de grandir chez BBDF avec un environnement de travail très favorable bien que le rythme ait été soutenu.
Points positifs
Salaire, avantage, refectoire, évolution de carrière
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,True,Agent de production,Paris ,2022,"Pas mal pour se former mais aucune évolution salariale possible.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Chef de Projet / Chargé d'Études à la Stratégie Digitale,La Défense ,2022,"-Avantages salarié -Missions transverses intéressantes
Évaluez votre entreprise pour afficher tous les avis

"
France,4.0,,False,Auxiliaire de vacances,Bordeaux ,2022,"Bonne opportunité pour un job d'été. Contrat en intérim avec bonne rémunération et tickets resto.
Points positifs
repas gratuits
Évaluez votre entreprise pour afficher tous les avis

"
France,2.0,,True,Chargée d'accueil,Paris ,2022,"Stress salaire trop d'outils multi support objectif commercial difficile a obtenir
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Conseiller en service client,Nanterre ,2022,"Globalement on retrouve tous les avantages d’un grand groupe bancaire mais le respect de l’équilibre vie privée vie professionnelle laisse à désirer tant le travail est plus important que sa famille et le salaire ne colle pas au marché ou à la réalité économique
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Assistante administrative et paie,La Défense ,2022,"Ayant travaillé 1 an seulement à la Société Générale je n'ai vu qu'une petite partie de l'environnement de travail.
De ce que je peux en déduire de mon expérience personnelle : horaires variables, bonne conciliation vie pro/vie perso. Le direction essaye de prendre le ressentis des salariés en compte. En revanche, salaire trop bas, prime difficile à obtenir, et évolution de carrière plutôt longue. L'ambiance de travail n'est pas terrible non plus.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Directeur d'agence,Île-de-France,2022,"Correct sans plus
Salaire trop bas
Évolution de poste ok
Points positifs
Évolution de poste
Points négatifs
Salaires
Évaluez votre entreprise pour afficher tous les avis

"
France,5.0,,False,Chargée de missions assurance,Yvelines,2022,"Une très bonne expérience au sein d'une équipe dynamique et une très bonne ambiance.
Travail de relation clientèle très dynamique.
Évaluez votre entreprise pour afficher tous les avis

"
France,5.0,,False,Chargée de clientèle,Nanterre ,2022,"Une très bonne Banque aussi bien avec une évolution professionnelle garantie suivant le plan de carrière et une couverture très avantageuse et très remarquée.
Points positifs
couverture sanitaire
Points négatifs
contrat CDI à favoriser
Évaluez votre entreprise pour afficher tous les avis

"
France,1.0,,False,Gestionnaire de dossiers,Marseille ,2022,"du jour au lendemain au revoir. Sans même un mot. Une direction de service froide et inhumaine. Fin de contrat après des années, pas un regard, pas un mot. Parfois la directrice du service dit bonjour avec un grand sourire, parfois elle ne répond même pas. Une charge de travail phénoménale jamais vue ailleurs, pourtant très chargée aussi. Et quand tout le monde fait de son mieux, à fond, on nous explique que ça c’est fait oui, mais pas le reste et qu’il ne faut pas délaisser le reste... le salaire mensuel qui ne suit pas mais on nous donne l’impression que le poste qu’on a eut est le Graal... bref. En résumé inhumain. Vous n’êtes qu’un pion qu’on presse comme un citron.
Évaluez votre entreprise pour afficher tous les avis

"
France,4.0,,True,Responsable sécurité,Paris ,2022,"Très bonne entente entre les internes et les prestataires. L'environnemment de travail est agréable. De nombreuses possibilités d'évolution sont possibles.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Conseiller en gestion de patrimoine,Paris,2022,"Bonne ambiance au sein de l’agence mais grosse déconnexion au niveau des objectifs demandés par conseiller, pression sur les objectifs de plus en plus importante. Les salaires sont bas et les primes également.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Conseillère clientèle,Paris ,2022,"Bon niveau de salaire et beaucoup d’avantages divers. Mais univers de travail stressant
Évaluez votre entreprise pour afficher tous les avis

"
France,1.0,,True,Alternance conseiller clientèle,Paris,2022,"Mauvaise expérience à ce poste
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,True,Analyste reporting reglementaire,La Défense ,2022,"Salaire bas et augmentation compliqués à avoir.
Il faut bien négocier son salaire à l'entrée.
Sinon possibilité régulière de changer de poste er ceci sur des métiers très différents via la mobilité interne et les formations.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Employé,Île-de-France,2022,"Beaucoup de travail et peu de moyens.
Avantage l’intéressement qui est motivant.
Évaluez votre entreprise pour afficher tous les avis

"
France,3.0,,False,Conseiller Clientèle Particuliers,Île-de-France,2022,"En poste de conseiller clientèle particuliers, beaucoup de notions à apprendre, équilibre compliqué entre formations et objectifs commerciaux.

Equipe sympathique et bienveillante, direction à mes côtés pendant l'intégration.

Salaire faible pour la charge de travail exigée.
"
France,4.0,,False,Chargée d'accuiel clientle,Paris 16e ,2022,"Plutôt bien dans l'ensemble avec des managers très à l'écoute
"
